,Coil_Number,UTS,EL,LYS,AIM_QLTY
22108,COIL_90991031,529,25,446,I17140
22109,COIL_93670161,350,40,277,T01382
22110,COIL_91590890,970,11,631,T13422
22111,COIL_92970731,404,37,323,T01099
22112,COIL_97800382,446,31,333,I17472
22113,COIL_90560111,359,40,281,T01018
22114,COIL_97270351,357,40,252,I09499
22115,COIL_96490701,386,37,308,I09499
22116,COIL_97330221,351,42,269,S33001
22117,COIL_90120531,451,32,391,I17020
22118,COIL_96030351,339,40,241,I09499
22119,COIL_95510591,556,25,489,D06005
22120,COIL_96090281,304,44,244,T01118
22121,COIL_90740971,447,32,321,I17140
22122,COIL_90080791,418,38,354,T01099
22123,COIL_91920911,381,43,300,I11496
22124,COIL_97470671,547,28,475,T01158
22125,COIL_95210951,384,38,308,I11496
22126,COIL_96570310,316,45,280,T01378
22127,COIL_88790891,497,29,396,I17007
22128,COIL_97160520,354,40,285,T01018
22129,COIL_89600682,369,42,293,I11496
22130,COIL_90760070,375,41,291,I11496
22131,COIL_93390111,345,40,270,T01244
22132,COIL_97290921,477,40,399,TCA003
22133,COIL_91080191,312,46,247,T01261
22134,COIL_90000401,397,37,337,K01002
22135,COIL_89220622,390,39,298,THB002
22136,COIL_97910011,366,40,297,I09499
22137,COIL_88970520,489,24,369,I17023
22138,COIL_96760191,308,44,243,T01087
22139,COIL_97290501,460,41,380,J10007
22140,COIL_93870111,305,46,242,T01118
22141,COIL_88160262,313,44,247,T01118
22142,COIL_92930651,367,39,295,T01050
22143,COIL_89600581,372,39,296,I11496
22144,COIL_94830341,307,46,244,TCA001
22145,COIL_91310442,360,42,287,T01018
22146,COIL_93930321,516,29,445,I17007
22147,COIL_91890171,403,35,318,I09500
22148,COIL_92210161,307,46,246,T01118
22149,COIL_88460551,344,44,275,J06005
22150,COIL_89900561,463,31,343,I17140
22151,COIL_93050020,388,42,309,I11496
22152,COIL_91330531,548,27,482,E13001
22153,COIL_90390402,587,24,527,A20001
22154,COIL_88980441,470,28,366,I17472
22155,COIL_89000941,521,32,453,I17021
22156,COIL_91410311,579,24,524,E13001
22157,COIL_93600411,359,44,283,T01018
22158,COIL_93620342,351,40,280,I09499
22159,COIL_89710161,304,46,252,T01560
22160,COIL_96170882,461,40,370,J10007
22161,COIL_96760221,315,43,251,T01087
22162,COIL_92840291,309,47,247,T01283
22163,COIL_93800501,580,26,515,E13001
22164,COIL_89001092,575,26,504,E13001
22165,COIL_93130551,459,28,370,I17140
22166,COIL_92000831,463,35,410,T01049
22167,COIL_91810372,567,25,492,E13001
22168,COIL_96770562,433,24,347,I45001
22169,COIL_93310791,369,42,285,J06006
22170,COIL_97060351,306,45,243,TCA001
22171,COIL_91270651,661,25,570,THS001
22172,COIL_91340381,478,27,418,T01583
22173,COIL_89730671,394,41,323,I11496
22174,COIL_94900251,367,39,273,T01018
22175,COIL_95170201,340,39,265,T01244
22176,COIL_96701101,563,28,483,E13001
22177,COIL_93970460,529,34,461,D06010
22178,COIL_90411070,471,33,403,E08000
22179,COIL_94030561,360,42,295,I09499
22180,COIL_93500141,306,46,251,T01378
